obj_ID,alpha,delta,u,g,r,i,z,field_ID,class,fiber_ID
1.23766E+18,135.6891066,32.49463184,23.87882,22.2753,20.39501,19.16573,18.79371,79,GALAXY,171
1.23766E+18,144.8261006,31.27418489,24.77759,22.83188,22.58444,21.16812,21.61427,119,GALAXY,427
1.23766E+18,142.1887896,35.58244418,25.26307,22.66389,20.60976,19.34857,18.94827,120,GALAXY,299
1.23766E+18,338.7410378,-0.402827575,22.13682,23.77656,21.61162,20.50454,19.2501,214,GALAXY,775
1.23768E+18,345.2825932,21.1838656,19.43718,17.58028,16.49747,15.97711,15.54461,137,GALAXY,842
1.23768E+18,340.9951205,20.58947628,23.48827,23.33776,21.32195,20.25615,19.54544,110,QSO,741
1.23768E+18,23.23492643,11.41818762,21.46973,21.17624,20.92829,20.60826,20.42573,462,QSO,113
1.23768E+18,5.433176037,12.06518599,22.24979,22.02172,20.34126,19.48794,18.84999,346,GALAXY,15
1.23766E+18,200.2904754,47.19940232,24.40286,22.35669,20.61032,19.4649,18.95852,108,GALAXY,719
1.23767E+18,39.1496906,28.10284161,21.74669,20.03493,19.17553,18.81823,18.65422,122,STAR,232
1.23768E+18,328.0920762,18.22031048,25.77163,22.52042,20.63884,19.78071,19.05765,27,GALAXY,525
1.23766E+18,243.9866375,25.73828043,23.76761,23.79969,20.98318,19.80745,19.45579,112,GALAXY,855
1.23768E+18,345.8018744,32.67286785,23.17274,20.14496,19.41948,19.22034,18.89359,38,STAR,574
1.23768E+18,331.50203,10.03580205,20.8294,18.75091,17.51118,17.01631,16.62772,123,GALAXY,200
1.23766E+18,344.9847703,-0.352615781,23.20911,22.79291,22.08589,21.86282,21.8512,255,GALAXY,796
1.23766E+18,244.8245231,25.15456399,24.8868,22.13311,20.44728,19.49171,18.9747,118,GALAXY,23
1.23768E+18,353.2015224,3.080795936,24.5489,21.44267,20.95315,20.7936,20.48442,284,STAR,178
1.23768E+18,1.494388639,3.29174633,20.38562,20.40514,20.29996,20.05918,19.89044,339,QSO,295
1.23768E+18,14.38313522,3.214326196,21.82154,20.5573,19.94918,19.76057,19.55514,425,STAR,258
1.23765E+18,167.1316688,67.33993563,20.48292,18.67807,17.6168,17.11936,16.73351,124,GALAXY,613
1.23765E+18,171.9754246,67.74745014,22.13367,20.84772,18.96537,18.31696,17.98124,136,GALAXY,572
1.23766E+18,144.7852927,46.82649568,24.54793,22.33601,20.92259,19.87177,19.16934,28,STAR,756
1.23766E+18,145.2730374,46.96013381,25.44243,20.77028,19.6617,19.08481,18.83176,30,GALAXY,115
1.23766E+18,145.8830055,47.30048358,21.73992,21.53095,21.26763,21.36257,21.15861,33,QSO,596
1.23766E+18,241.4262672,27.22469494,18.88323,17.54229,17.01789,16.75376,16.72259,94,GALAXY,368
1.23766E+18,132.922468,4.521864697,21.2611,20.50495,18.36379,23.17828,17.96264,126,GALAXY,190
1.23766E+18,143.2880176,5.552052211,25.98497,21.31456,19.61107,18.83178,18.27728,195,GALAXY,170
1.23766E+18,140.6000381,5.265757704,25.46577,22.4065,21.43408,20.26256,19.98775,177,GALAXY,203
1.23766E+18,333.3115106,-0.376122967,20.53324,18.84066,18.05369,17.60397,17.2903,177,GALAXY,184
1.23766E+18,337.0934355,-0.31177327,20.15491,18.37295,17.31276,16.82294,16.44342,203,GALAXY,231
1.23766E+18,252.7585486,19.49352687,24.36048,20.3777,18.53392,17.84004,17.44505,180,GALAXY,199
1.23766E+18,240.2139089,27.96429085,23.08039,22.02426,20.80525,19.90149,19.37544,85,GALAXY,141
1.23767E+18,255.5748935,45.47870292,23.73066,22.82349,21.32414,19.81448,19.28439,12,GALAXY,313
1.23768E+18,20.05255573,11.49788077,21.89214,21.35124,21.18755,20.843,20.7658,441,QSO,306
1.23767E+18,144.721737,5.846847285,22.88916,21.63309,20.06106,19.13263,18.9481,198,GALAXY,375
1.23768E+18,44.92336027,3.175548751,23.8628,22.7784,20.98458,19.70143,19.24533,168,GALAXY,987
1.23765E+18,136.2630712,3.944003082,24.06677,23.00891,21.0967,20.12869,19.68312,114,GALAXY,833
1.23766E+18,140.5129827,45.40361267,20.71552,18.85877,17.72017,17.24668,16.87722,225,GALAXY,229
1.23766E+18,136.4183782,36.15267852,20.66654,22.21825,24.8026,21.43702,22.82647,138,STAR,799
1.23767E+18,121.6100097,41.92872069,22.42006,21.26692,19.40369,18.74999,18.26678,245,GALAXY,703
1.23766E+18,181.6453305,42.27399522,21.20149,19.77107,19.27176,19.04226,18.9441,158,STAR,919
1.23767E+18,146.9257842,14.88003749,25.52618,22.45513,21.82048,20.83807,20.28395,211,GALAXY,357
1.23767E+18,179.698615,33.67319762,23.27982,20.35433,18.79782,18.13757,17.74069,419,GALAXY,862
1.23768E+18,332.0871561,17.41592025,27.0971,22.56329,20.61106,19.698,19.07937,51,GALAXY,452
1.23766E+18,188.0680012,7.561201476,22.26849,21.88272,19.86473,18.81373,18.06582,155,GALAXY,183
1.23767E+18,344.7698884,26.92854864,22.33744,20.02736,19.2826,19.04074,18.90521,69,STAR,344
1.23768E+18,40.79574267,3.564368114,22.79262,22.29579,22.23841,21.55672,21.01273,261,GALAXY,748
1.23767E+18,228.4477283,12.74503193,22.36261,21.7106,21.5963,21.60179,21.12727,125,QSO,320
1.23768E+18,345.221147,2.593461754,21.90143,21.79169,21.44344,21.25545,21.07686,231,QSO,340
1.23766E+18,129.6280955,29.05905655,24.91692,21.27143,19.59078,18.90489,18.49419,37,GALAXY,113
1.23766E+18,129.1990205,28.70175406,23.01294,20.46514,18.83662,18.16925,17.73204,34,GALAXY,144
1.23767E+18,168.7266013,27.6809253,21.65936,21.73216,21.61713,21.60229,21.24192,385,QSO,220
1.23766E+18,341.3918991,-0.3176731,22.92673,23.03158,22.75313,21.40591,20.70943,231,GALAXY,206
1.23768E+18,355.1751317,11.84861064,22.7706,22.25927,20.1723,19.13553,18.60195,279,GALAXY,797
1.23768E+18,5.016618104,11.95733598,22.29616,20.17357,18.60767,17.99611,17.59206,343,GALAXY,668
1.23766E+18,117.8254525,28.94828104,21.78552,21.67436,21.9174,20.55012,19.68962,63,GALAXY,533
1.23765E+18,7.295167962,15.2714948,22.72659,22.31748,20.5118,19.45051,18.86085,198,GALAXY,711
1.23766E+18,242.0735629,30.73984433,20.75533,18.52615,17.34166,16.82644,16.42062,109,GALAXY,328
1.23766E+18,238.4858024,33.12477863,25.519,22.20538,20.10958,19.10345,18.64843,83,GALAXY,767
1.23766E+18,246.4388755,27.73664265,24.82672,21.61567,19.70549,18.88857,18.48836,141,GALAXY,464
1.23766E+18,230.2132666,33.3020821,22.83827,19.99337,18.49053,17.86074,17.50969,17,GALAXY,630
1.23766E+18,252.6546525,19.73278903,25.19646,21.77507,20.79209,19.86567,19.89753,179,GALAXY,223
1.23766E+18,240.664803,27.58654467,19.1855,18.02785,17.46046,17.14015,16.97431,89,GALAXY,504
1.23766E+18,192.3450646,37.43512023,22.14838,20.87264,19.02323,18.41182,18.33893,55,GALAXY,255
1.23766E+18,241.4373201,27.18005059,25.1444,22.24196,20.59213,19.56918,19.08057,94,GALAXY,775
1.23766E+18,254.3532997,18.29647358,20.64171,18.761,17.38466,16.83926,16.41518,193,GALAXY,167
1.23766E+18,229.6086882,33.50265484,19.6081,18.12493,17.494,17.12954,16.9521,14,GALAXY,510
1.23766E+18,252.4109335,19.75733601,22.08841,19.65585,18.15532,17.59347,17.20853,177,GALAXY,266
1.23766E+18,236.8022966,29.80142598,25.9803,21.89943,20.07695,19.12181,18.63752,62,GALAXY,687
1.23768E+18,338.6601797,20.30826281,22.74328,22.04119,21.13037,19.93169,19.81143,95,GALAXY,425
1.23768E+18,332.7613218,19.25864004,22.11101,19.30047,17.9669,17.3835,16.94589,57,GALAXY,28
1.23766E+18,178.5046159,54.3791571,21.77434,21.65529,21.77547,21.72382,21.66425,177,QSO,667
1.23766E+18,144.742439,46.96719089,20.87676,20.61914,20.55744,20.54716,20.15146,28,QSO,745
1.23766E+18,124.2315837,3.643403828,18.75124,17.35669,16.6507,16.25624,16.03383,67,GALAXY,177
1.23768E+18,11.0594434,11.93530448,20.53318,20.37871,20.16658,20.12587,20.13796,382,QSO,324
1.23768E+18,12.22289416,11.86715114,22.864,20.99637,20.77479,20.60149,20.42078,390,STAR,882
1.23766E+18,338.518632,-0.370661907,24.3689,24.89395,23.60455,22.12098,22.23246,212,GALAXY,519
1.23768E+18,357.1515193,-8.043402272,23.96082,20.7098,19.48951,18.539,17.99627,301,GALAXY,483
1.23766E+18,64.87562501,28.13092251,23.78648,22.61023,19.79689,18.18796,17.0124,47,STAR,440
1.23766E+18,121.1812474,32.19427429,24.59952,21.29358,19.79466,18.96994,18.36362,92,GALAXY,267
1.23767E+18,343.4616775,24.3003694,22.70525,22.38366,22.10573,22.19179,21.8687,265,QSO,10
1.23767E+18,136.5016923,0.981632054,25.72517,22.3239,20.83764,19.82272,19.33796,134,GALAXY,368
1.23766E+18,184.914328,42.41347853,25.10932,23.02978,21.6433,20.57167,19.76941,175,STAR,912
1.23766E+18,187.9734249,42.28881555,23.33354,22.08951,21.85797,22.16238,22.55171,190,QSO,886
1.23767E+18,131.9277691,11.69047929,23.13947,21.44235,20.37401,19.22886,18.55112,111,GALAXY,915
1.23766E+18,206.4610082,7.427089641,20.16308,19.48441,19.33299,19.2896,19.08112,276,QSO,821
1.23767E+18,197.5291513,33.15670811,21.25551,21.1894,20.11088,19.40883,19.03537,518,GALAXY,997
1.23766E+18,132.8301979,44.72715755,20.49408,20.2065,20.22691,20.19625,19.82982,187,QSO,754
1.23766E+18,153.4476487,56.05904188,22.21266,20.47113,18.82083,18.18008,17.76504,223,GALAXY,410
1.23767E+18,271.620557,24.81033417,22.25522,20.6308,19.96252,19.69811,19.4611,149,STAR,442
1.23767E+18,160.0565729,23.00492179,20.64593,19.19186,18.71879,18.54982,18.57035,310,GALAXY,142
1.23767E+18,125.5937528,13.47743121,24.80904,24.19171,22.57484,19.67837,17.97654,83,STAR,496
1.23766E+18,191.9743154,7.448371765,26.30048,22.7609,20.80001,19.7631,19.23547,181,GALAXY,785
1.23766E+18,173.3195491,35.88475051,24.42061,20.62309,18.91562,18.34712,18.0602,108,GALAXY,280
1.23765E+18,2.170252439,16.11295854,23.59629,22.13309,20.78996,19.82567,19.41473,316,GALAXY,613
1.23767E+18,348.3358147,25.68558112,23.93912,22.92743,21.78178,20.69582,19.83773,437,GALAXY,35
1.23767E+18,42.04851482,32.46601939,21.8015,18.61152,17.18664,16.54847,16.14959,155,STAR,173
1.23766E+18,169.4172365,7.719849854,25.08139,22.03635,21.83119,21.71758,21.24758,31,STAR,422
1.23766E+18,243.4989084,4.309791542,21.23949,20.39086,20.35097,20.25421,19.90627,222,QSO,940
1.23768E+18,44.37408879,3.017933102,25.76758,22.40062,20.49454,19.55738,19.04092,164,GALAXY,889
1.23768E+18,20.78260526,-6.876952044,22.40024,22.38897,20.59912,19.78579,19.13067,107,GALAXY,653
1.23765E+18,150.8800311,4.873686683,22.33767,21.74014,20.67626,19.84993,19.52213,212,GALAXY,775
1.23766E+18,132.8208583,30.87319979,23.83978,22.87262,20.98026,19.61335,18.91918,59,GALAXY,63
1.23766E+18,140.5503268,34.90216421,21.66945,19.51412,18.1168,17.60705,17.25109,110,GALAXY,206
1.23766E+18,145.198313,31.36179329,25.01055,25.68188,22.08467,20.87707,19.95657,121,GALAXY,603
1.23766E+18,141.9489511,35.6620647,22.83775,22.53633,21.14728,20.04436,19.34116,119,GALAXY,721
1.23766E+18,140.6792636,35.04811027,21.29609,19.22355,17.69948,17.08743,16.75041,111,GALAXY,676
1.23768E+18,11.17152657,12.00731689,20.22819,20.18983,19.53547,19.50299,19.35294,383,QSO,282
1.23768E+18,19.03452108,11.65873797,21.27749,20.74533,20.38233,20.25976,19.89784,435,QSO,842
1.23766E+18,239.3319454,28.58180886,17.95408,16.60142,15.99984,15.61901,15.42194,78,GALAXY,505
1.23768E+18,8.348878998,11.94139807,24.67206,22.2909,20.96209,19.79067,19.14412,365,GALAXY,957
1.23768E+18,22.74684115,11.34387918,24.91774,20.74357,18.8595,18.18621,17.75864,459,GALAXY,344
1.23766E+18,204.0055161,46.75826518,21.48696,19.95936,19.76283,18.92081,19.5129,125,GALAXY,271
1.23766E+18,9.913195377,-1.112548439,23.19134,22.69088,21.71342,21.21746,21.42393,182,GALAXY,876
1.23766E+18,333.1101136,-0.41561229,23.68024,22.93109,22.38346,21.54711,21.80262,176,GALAXY,202
1.23765E+18,185.3537258,-2.58133748,20.71064,20.22823,19.8522,19.59367,19.34152,217,QSO,96
1.23765E+18,161.751689,-2.308345565,24.64835,22.00048,21.63793,21.72727,22.06267,59,QSO,316
1.24E+18,253.5217439,19.05752435,21.94553,21.44538,19.54981,18.87251,18.44153,186,GALAXY,50
1.23768E+18,341.9767943,10.93485171,21.26236,20.68755,20.53071,20.42182,20.13542,192,QSO,202
1.23766E+18,182.9413692,54.44562608,22.25055,20.72246,20.20829,19.9893,19.95151,195,STAR,449
1.24E+18,332.4965618,19.15757811,25.10085,22.3726,20.71808,19.5564,18.878,55,GALAXY,623
1.23766E+18,343.7625683,-0.296242798,22.65379,22.52258,21.95554,21.85023,21.03508,247,QSO,564
1.23768E+18,27.9236364,11.04438829,24.70554,22.40585,20.81726,19.85176,19.57173,493,GALAXY,215
